Feature,Importance_Mean,Importance_Std
v_std,0.10314677124458389,0.011216099685917554
h_std,0.09492720676005305,0.01665289585891236
sky,0.09044835810229798,0.01716362708645017
v_mean,0.08642271972509588,0.027633995932194844
entropy,0.07543272285381505,0.015904206301695666
h_mean,0.07388284359038444,0.00908049935463951
colorfulness,0.06841527370654314,0.0014387775672207689
shadow_ratio,0.06512267337799542,0.007788610894966308
vegetation,0.06510658407219141,0.004701014817467376
sky_brightness,0.06194775576626441,0.013221783639484806
s_mean,0.059080758665164615,0.011022875220721316
building,0.05850996058245626,0.005122854225598759
s_std,0.051700685128868884,0.006053994620314064
road,0.045855686424285516,0.012832928021165263
